run,run_dir,algo,p,train_seed,eval_seed,eval_episodes,gamma,tau,m,Jx,Jy,Jz,ell,eta,sigma_noise,noise_type,eps_gust,gust_scale,horizon,act_limit,obs_clip,state_limit,cost_limit,terminate_on_unhealthy,unhealthy_penalty,info_clip,total_steps,fixed_init,normalize,num_envs,policy_net,batch_size,buffer_size,learning_starts,train_freq,gradient_steps,action_noise_sigma,label,episode,steps,terminated,truncated,termination_reason,discounted_cost_policy,discounted_cost_policy_finite,discounted_cost_policy_tail_oracle,discounted_cost_oracle,discounted_regret,discounted_regret_stage_action,finite_horizon_opt_gap,optgap_reward_finite,optgap_reward_tail,optgap_cost_tail,reward_return_policy_finite,reward_return_policy_tail_oracle,reward_star_s0,final_state_norm,terminal_discount,terminal_V_star,mean_energy_residual,max_oracle_bellman_residual,V_star_s0,crn_episode,crn_unit,crn_unit_within_p
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,0,512,False,True,horizon,14.587939008206405,14.587939008206405,14.587976390732694,12.974625372306818,5.858094991023215,1.6133136358995874,0.6710351882548147,-0.6710351882548147,-0.6710394703893108,0.6710394703893108,-14.587939008206405,-14.587976390732694,-8.729881399709479,0.17809857428073883,0.005823976768663672,0.006418728606532423,7.160985942677306e-17,5.329070518200751e-15,8.729881399709479,0,p0.6_seed0_ep0,seed0_ep0
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,1,512,False,True,horizon,29.002264056104305,29.002264056104305,29.002302421244895,23.03206031215675,9.863156632843697,5.970203743947549,0.5153374333811643,-0.5153374333811643,-0.5153394379189328,0.5153394379189328,-29.002264056104305,-29.002302421244895,-19.139145788401198,0.18045960366725922,0.005823976768663672,0.00658744739447883,1.2139506793459182e-16,5.329070518200751e-15,19.139145788401198,1,p0.6_seed0_ep1,seed0_ep1
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,2,512,False,True,horizon,19.652286110432676,19.652286110432676,19.652323588611274,14.490786108259172,7.059067086808989,5.161500002173518,0.5605404454058072,-0.5605404454058072,-0.5605434214572036,0.5605434214572036,-19.652286110432676,-19.652323588611274,-12.593256501802285,0.17830051481723785,0.005823976768663672,0.006435152489070179,6.162164691275035e-17,5.329070518200751e-15,12.593256501802285,2,p0.6_seed0_ep2,seed0_ep2
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,3,512,False,True,horizon,32.31806139889078,32.31806139889078,32.31809702442669,29.673497709444682,5.068836186978913,2.6445636894462186,0.18601607550678673,-0.18601607550678673,-0.18601738290136627,0.18601738290136627,-32.31806139889078,-32.31809702442669,-27.24926083744778,0.1737871766090393,0.005823976768663672,0.006117046363961418,7.837595860944041e-17,1.0658141036401503e-14,27.24926083744778,3,p0.6_seed0_ep3,seed0_ep3
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,policy,4,512,False,True,horizon,24.65145378364312,24.65145378364312,24.65149215280134,20.796129265315916,5.60106568322967,3.8553245183271563,0.29401059986858613,-0.29401059986858613,-0.29401261395253747,0.29401261395253747,-24.65145378364312,-24.65149215280134,-19.05042646957167,0.1804264634847641,0.005823976768663672,0.006588137237363675,9.577401534604374e-17,8.881784197001252e-15,19.05042646957167,4,p0.6_seed0_ep4,seed0_ep4
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,oracle,0,512,False,True,horizon,8.728589492340408,8.728589492340408,8.72858993272485,8.728589468884822,-0.0012914669846288973,2.345560695741475e-08,-0.0001479868179095245,0.0001479868179095245,0.00014793637227095984,-0.00014793637227095984,-8.728589492340408,-8.72858993272485,-8.729881399709479,0.0013903756625950336,0.005823976768663672,7.561576214691818e-05,2.965846491013775e-17,5.329070518200751e-15,8.729881399709479,0,p0.6_seed0_ep0,seed0_ep0
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,oracle,1,512,False,True,horizon,19.138080925903076,19.138080925903076,19.138081358359695,19.14119989247919,-0.0010644300415023622,-0.0031189665761555286,-5.563793232441375e-05,5.563793232441375e-05,5.561533692623722e-05,-5.561533692623722e-05,-19.138080925903076,-19.138081358359695,-19.139145788401198,0.0009362454293295741,0.005823976768663672,7.425452350287775e-05,8.512052214485994e-17,1.0658141036401503e-14,19.139145788401198,1,p0.6_seed0_ep1,seed0_ep1
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,oracle,2,512,False,True,horizon,12.610767046950143,12.610767046950143,12.610767499309523,12.73031077393056,0.01751099750723739,-0.11954372698041886,0.0013904699825140385,-0.0013904699825140385,-0.0013905059032768778,0.0013905059032768778,-12.610767046950143,-12.610767499309523,-12.593256501802285,0.0016201818361878395,0.005823976768663672,7.767190677967097e-05,6.567833336979312e-17,3.552713678800501e-15,12.593256501802285,2,p0.6_seed0_ep2,seed0_ep2
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,oracle,3,512,False,True,horizon,27.25837605585214,27.25837605585214,27.25837650550691,27.258375833442724,0.00911566805913111,2.2240942304887765e-07,0.0003345125014119179,-0.0003345125014119179,-0.0003345290029520143,0.0003345290029520143,-27.25837605585214,-27.25837650550691,-27.24926083744778,0.0015247660921886563,0.005823976768663672,7.720751423057356e-05,1.4009733827505597e-16,7.105427357601002e-15,27.24926083744778,3,p0.6_seed0_ep3,seed0_ep3
PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,aerial_results/runs/PPO_quad3d_p0.6_eta0.1_sig0.0001_gust_seed0_fixs0_20260516-065653,PPO,0.6,0,20260516,5,0.99,0.01,1.0,0.03,0.03,0.03,0.2,0.1,0.0001,gust,0.1,2.0,512,1.0,1000000.0,1000000.0,1000000000000.0,True,1000.0,1e+30,150000,True,True,1,"256,256",512,50000,10000,64,64,0.1,oracle,4,512,False,True,horizon,19.09593730267513,19.09593730267513,19.095937760310676,19.359426581211974,0.04551129073900739,-0.2634892785368415,0.002388966628970225,-0.002388966628970225,-0.0023889906512958125,0.0023889906512958125,-19.09593730267513,-19.095937760310676,-19.05042646957167,0.001526002073660493,0.005823976768663672,7.857784586252707e-05,7.205007005952275e-17,3.552713678800501e-15,19.05042646957167,4,p0.6_seed0_ep4,seed0_ep4
