run,algo,seed,n_links,p,tau,r_u,sigma_omega,gamma,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,eval_reward_mean,monitor_reward_smoothed
runs_2/A2C_n12_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250924-171035,A2C,11,12,0.5,0.03,10.0,0.001,0.99,13487.71239688913,1349.9200384621126,68.38485957791075,2.890758581290855e-14,-191694.79109085878,-241618.64673640003
runs_2/A2C_n12_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250924-232703,A2C,11,12,0.5,0.03,10.0,0.001,0.99,17022.065037168788,1045.240152717281,68.38485957791075,2.890758581290855e-14,-176427.22482822894,-214946.13804385002
runs_2/A2C_n12_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250924-123044,A2C,7,12,0.5,0.03,10.0,0.001,0.99,15476.677322388108,1170.4803729837731,58.23315896429548,2.1680689359681415e-14,-187097.91680289587,-222751.10403934997
runs_2/A2C_n12_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250924-222407,A2C,7,12,0.5,0.03,10.0,0.001,0.99,22348.70416159686,2509.462427973732,58.23315896429548,2.1680689359681415e-14,-218487.93873087724,-241850.19745285
runs_2/A2C_n12_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-013157,A2C,11,12,0.6,0.03,10.0,0.001,0.99,16510.116538446506,1275.0179999383217,68.38485957791075,2.890758581290855e-14,-247619.0985824744,-294939.1109269
runs_2/A2C_n12_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-023701,A2C,11,12,0.6,0.03,10.0,0.001,0.99,17249.517093674218,1691.4364221377277,68.38485957791075,2.890758581290855e-14,-287633.61509579024,-316788.74497055
runs_2/A2C_n12_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250924-215244,A2C,7,12,0.6,0.03,10.0,0.001,0.99,9040.731997257788,1075.7097040144922,58.23315896429548,2.1680689359681415e-14,-319090.10119788966,-309663.5132572
runs_2/A2C_n12_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-003017,A2C,7,12,0.6,0.03,10.0,0.001,0.99,19130.58603986655,1982.6794279576086,58.23315896429548,2.1680689359681415e-14,-356795.2378093656,-328388.6307138
runs_2/A2C_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-033456,A2C,11,12,0.8,0.03,10.0,0.001,0.99,107229.51567256435,68879.20677897155,68.38485957791075,2.890758581290855e-14,-13581924.404073598,-14584955.8178332
runs_2/A2C_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-115701,A2C,11,12,0.8,0.03,10.0,0.001,0.99,96689.09121360446,69271.37116381648,68.38485957791075,2.890758581290855e-14,-9595835.649984632,-12906401.997107701
runs_2/A2C_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-023321,A2C,7,12,0.8,0.03,10.0,0.001,0.99,62781.333739601316,24661.977949126776,58.23315896429548,2.1680689359681415e-14,-32905482.623006776,-10323675.658938052
runs_2/A2C_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-070534,A2C,7,12,0.8,0.03,10.0,0.001,0.99,282740.162586169,653074.5255853237,58.23315896429548,2.1680689359681415e-14,-40602980.29515277,-12986501.842231553
runs_2/A2C_n19_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-055128,A2C,11,19,0.5,0.03,10.0,0.001,0.99,24535.105598040867,2730.3044733208835,97.99473956177339,1.4453792906454277e-14,-303848.4031042194,-380826.0110822
runs_2/A2C_n19_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-222448,A2C,11,19,0.5,0.03,10.0,0.001,0.99,17971.854036744153,1080.5475817209483,97.99473956177339,1.4453792906454277e-14,-282010.9266773987,-381800.59590629995
runs_2/A2C_n19_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-044107,A2C,7,19,0.5,0.03,10.0,0.001,0.99,15094.514027621426,1145.6524779098233,82.46620770193287,1.4453792906454277e-14,-311987.4188934167,-358483.68450880004
runs_2/A2C_n19_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-165950,A2C,7,19,0.5,0.03,10.0,0.001,0.99,12600.482570457087,1185.6541147525998,82.46620770193287,1.4453792906454277e-14,-320404.3182659054,-387725.91925155
runs_2/A2C_n19_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-081156,A2C,11,19,0.6,0.03,10.0,0.001,0.99,17462.85347809897,2015.755676313608,97.99473956177339,1.4453792906454277e-14,-377720.55440216383,-481732.94829559996
runs_2/A2C_n19_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250926-082524,A2C,11,19,0.6,0.03,10.0,0.001,0.99,16799.10188651714,1736.2201128599074,97.99473956177339,1.4453792906454277e-14,-380271.3208438174,-477265.4217881
runs_2/A2C_n19_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-070144,A2C,7,19,0.6,0.03,10.0,0.001,0.99,24693.407226711304,2578.777448521367,82.46620770193287,1.4453792906454277e-14,-485154.73087081907,-453705.0967995
runs_2/A2C_n19_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250926-032417,A2C,7,19,0.6,0.03,10.0,0.001,0.99,12480.108182075632,1054.2420010016217,82.46620770193287,1.4453792906454277e-14,-409732.58740196546,-441587.44380495
runs_2/A2C_n19_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-103319,A2C,11,19,0.8,0.03,10.0,0.001,0.99,168474.3413006056,91967.60340404273,97.99473956177339,1.4453792906454277e-14,-12531855.922197059,-13101473.618583499
runs_2/A2C_n19_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250926-182605,A2C,11,19,0.8,0.03,10.0,0.001,0.99,183873.77765194714,72161.94251020718,97.99473956177339,1.4453792906454277e-14,-7671754.621956771,-13754538.958081748
runs_2/A2C_n19_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-092234,A2C,7,19,0.8,0.03,10.0,0.001,0.99,68314.96515870193,24831.034038161786,82.46620770193287,1.4453792906454277e-14,-39853674.03332277,-13024669.676589949
runs_2/A2C_n19_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250926-132510,A2C,7,19,0.8,0.03,10.0,0.001,0.99,79187.48799338598,50927.31845585178,82.46620770193287,1.4453792906454277e-14,-42146600.92811721,-8477034.54016465
runs_2/A2C_n4_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250923-000023,A2C,11,4,0.5,0.03,10.0,0.001,0.99,6533.839546308439,1976.843306929976,28.809490165284462,7.226896453227138e-15,-17297.750072582763,-45026.7665138
runs_2/A2C_n4_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250922-222140,A2C,7,4,0.5,0.03,10.0,0.001,0.99,896.7488915871335,0.1127623443837865,18.90118276937907,3.613448226613569e-15,-30320.66748037815,-49770.74619955
runs_2/A2C_n4_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250923-031822,A2C,11,4,0.6,0.03,10.0,0.001,0.99,6686.428089865029,1164.9641588329544,28.809490165284462,7.226896453227138e-15,-24427.036724675596,-95425.0691232
runs_2/A2C_n4_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250923-013928,A2C,7,4,0.6,0.03,10.0,0.001,0.99,373.1309404693797,12.016998764166434,18.90118276937907,3.613448226613569e-15,-90653.1714526707,-89968.40637845
runs_2/A2C_n4_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250923-063616,A2C,11,4,0.8,0.03,10.0,0.001,0.99,467136.20447673596,701266.70721403,28.809490165284462,7.226896453227138e-15,-2244476.1731450763,-44473364.757433
runs_2/A2C_n4_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250923-045709,A2C,7,4,0.8,0.03,10.0,0.001,0.99,8112.48872598593,1623.5681290501964,18.90118276937907,3.613448226613569e-15,-14386395.393151104,-631089.58566885
runs_2/A2C_n9_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250923-140033,A2C,11,9,0.5,0.03,10.0,0.001,0.99,14713.580899492512,881.72113675773,60.50879671905131,1.4453792906454277e-14,-145504.78119488558,-185013.76301195
runs_2/A2C_n9_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250923-093554,A2C,7,9,0.5,0.03,10.0,0.001,0.99,13565.67413985346,1169.3800610369237,49.26487436788753,2.1680689359681415e-14,-146098.03598088105,-178314.6298841
runs_2/A2C_n9_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250923-230911,A2C,11,9,0.6,0.03,10.0,0.001,0.99,11086.010255707066,1283.5444163743246,60.50879671905131,1.4453792906454277e-14,-205103.9750152993,-237126.49942435004
runs_2/A2C_n9_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250923-183456,A2C,7,9,0.6,0.03,10.0,0.001,0.99,18613.932999599307,1210.2870666901201,49.26487436788753,2.1680689359681415e-14,-259436.49374347526,-208088.17553655
runs_2/A2C_n9_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250924-075914,A2C,11,9,0.8,0.03,10.0,0.001,0.99,170718.41596115747,162500.73910638542,60.50879671905131,1.4453792906454277e-14,-3143610.7774119037,-7284188.93851015
runs_2/A2C_n9_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250924-033524,A2C,7,9,0.8,0.03,10.0,0.001,0.99,43265.39745256246,11725.51652698783,49.26487436788753,2.1680689359681415e-14,-33810870.86465577,-3121645.65635255
runs_2/DDPG_n12_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250924-194551,DDPG,11,12,0.5,0.03,10.0,0.001,0.99,2932.749151530227,585.615668395196,68.38485957791075,2.890758581290855e-14,-38176.862753122645,-30478.8822185
runs_2/DDPG_n12_p0.5_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250924-235307,DDPG,11,12,0.5,0.03,10.0,0.001,0.99,2932.749151530227,585.615668395196,68.38485957791075,2.890758581290855e-14,-37346.935827244124,-39645.43513245
runs_2/DDPG_n12_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250924-150337,DDPG,7,12,0.5,0.03,10.0,0.001,0.99,35276.70026335829,1852.678408809974,58.23315896429548,2.1680689359681415e-14,-42502.67137197335,-24609.6455735
runs_2/DDPG_n12_p0.5_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250924-225004,DDPG,7,12,0.5,0.03,10.0,0.001,0.99,37281.99907921002,1918.3557415546875,58.23315896429548,2.1680689359681415e-14,-31703.343959558806,-34151.9098536
runs_2/DDPG_n12_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-015728,DDPG,11,12,0.6,0.03,10.0,0.001,0.99,2332.9794748340673,244.8558020459158,68.38485957791075,2.890758581290855e-14,-118364.19902339458,-143893.81153334997
runs_2/DDPG_n12_p0.6_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-050555,DDPG,11,12,0.6,0.03,10.0,0.001,0.99,2332.9794748340673,244.8558020459158,68.38485957791075,2.890758581290855e-14,-90735.47881418864,-104682.05860325
runs_2/DDPG_n12_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-003619,DDPG,7,12,0.6,0.03,10.0,0.001,0.99,3462.320642895266,1678.4200513611192,58.23315896429548,2.1680689359681415e-14,-142016.09038796267,-131036.26958305
runs_2/DDPG_n12_p0.6_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-005600,DDPG,7,12,0.6,0.03,10.0,0.001,0.99,3462.320642895266,1678.4200513611192,58.23315896429548,2.1680689359681415e-14,-127135.49694622676,-91676.99806965
runs_2/DDPG_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-040032,DDPG,11,12,0.8,0.03,10.0,0.001,0.99,54667.646107588465,50876.119605781285,68.38485957791075,2.890758581290855e-14,-14654308.879251957,-16749413.946826002
runs_2/DDPG_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed11_varys0_20250925-144405,DDPG,11,12,0.8,0.03,10.0,0.001,0.99,54667.646107588465,50876.119605781285,68.38485957791075,2.890758581290855e-14,-9654698.322588634,-15086572.135275
runs_2/DDPG_n12_p0.8_tau0.03_ru10.0_sigw0.001_seed7_varys0_20250925-025902,DDPG,7,12,0.8,0.03,10.0,0.001,0.99,46333.59691077093,37269.32482660527,58.23315896429548,2.1680689359681415e-14,-59950080.47273253,-7418986.648655951
