run,algo,seed,n_links,p,tau,r_u,sigma_omega,gamma,mc_cost_mean,mc_cost_std,jstar_mean,jstar_std,eval_reward_mean,monitor_reward_smoothed
runs/A2C_n13_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-054119,A2C,202511,13,0.5,0.05,10.0,0.0001,0.99,7358.009891405785,1816.9469341388337,5.09921104181708,0.9344860208734209,-151453.54001479468,-215212.17305625003
runs/A2C_n13_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-022407,A2C,20257,13,0.5,0.05,10.0,0.0001,0.99,7009.14671341646,1540.6430401790485,4.727883976120421,1.1005594309562032,-169144.5493901348,-231333.00042584998
runs/A2C_n13_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-064757,A2C,202511,13,0.6,0.05,10.0,0.0001,0.99,11834.676603296926,2104.315596691405,5.09921104181708,0.9344860208734209,-152000.963606898,-222279.12226889998
runs/A2C_n13_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-032947,A2C,20257,13,0.6,0.05,10.0,0.0001,0.99,12556.749214125048,1487.9087649017895,4.727883976120421,1.1005594309562032,-167744.05168412527,-248450.9882617
runs/A2C_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed202511_20250921-075452,A2C,202511,13,0.8,0.05,10.0,0.0001,0.99,8933.643177703556,1379.4775583227047,5.09921104181708,0.9344860208734209,-236345.86379343906,-302664.82459434995
runs/A2C_n13_p0.8_tau0.05_ru10.0_sigw0.0001_seed20257_20250921-043525,A2C,20257,13,0.8,0.05,10.0,0.0001,0.99,12528.760318512608,1303.63088097298,4.727883976120421,1.1005594309562032,-199031.98787720205,-293751.7009163
runs/A2C_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-021046,A2C,202511,7,0.5,0.05,10.0,0.0001,0.99,7460.884301451105,1646.180973224839,2.807922646876432,0.941580273393496,-83274.76677947283,-102894.3412987
runs/A2C_n7_p0.5_tau0.05_ru10.0_sigw0.0001_seed20257_20250918-232129,A2C,20257,7,0.5,0.05,10.0,0.0001,0.99,7273.593601068904,1292.4761555077544,2.377894472730307,0.820859388359591,-72148.56652507622,-99073.9285825
runs/A2C_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed202511_20250919-031033,A2C,202511,7,0.6,0.05,10.0,0.0001,0.99,1194.3076572941718,322.67453711168946,2.807922646876432,0.941580273393496,-33834.47858594636,-97561.00371065
runs/A2C_n7_p0.6_tau0.05_ru10.0_sigw0.0001_seed20257_20250919-002029,A2C,20257,7,0.6,0.05,10.0,0.0001,0.99,11017.85145445579,1882.556952822114,2.377894472730307,0.820859388359591,-65844.82825755437,-108188.7621119
